Internal ID,Identifier,Expressed,Purified,measured,max rate,mean rate
RBC_31,gi|740417597|ref|WP_038250565.1|,True,True,True,7.3,7.3
RBC4_9,gi|1119753062|ref|WP_072659740.1|,True,True,True,7.0,7.0
RBC_27,gi|500125363|ref|WP_011801368.1|,,,False,,
RBC4_54,cg_0.2_sub100_scaffold_14_c_35,True,True,True,,
RBCSeed_20,gi|659886965|ref|WP_029933650.1|,,,False,,
RBC_73,gi|499689111|ref|WP_011369845.1|,True,True,True,,
RBC4_59,gi|751599392|ref|WP_041067559.1|,True,True,True,9.3,9.3
RBCSeed_22,gi|740194019|ref|WP_038036007.1|,True,True,True,7.1,6.449999999999999
RBC4_60,gi|668672668|gb|KFB68024.1|,True,False,False,,
RBC4_49,gi|1085094976|gb|OGS93441.1|,True,True,True,,
RBC_30,gi|518386940|ref|WP_019557147.1|,True,True,False,,
AfM,gi|501530536|ref|WP_012537012.1|,True,True,True,17.3,11.4
RBC4_51,gi|801010942|ref|WP_046022207.1|,True,True,True,0.9,0.9
RBC_72,gi|655038174|ref|WP_028486931.1|,,,False,,
RBC2_36,gi|497537089|ref|WP_009851287.1|,True,True,True,3.4,3.4
RBCSeed_3,cg1_0.2_scaffold_4987_c_3,True,True,True,14.3,12.850000000000001
RBC4_38,gi|780095224|ref|WP_045470294.1|,True,True,True,0.1,0.1
RBC_87,gi|503794661|ref|WP_014028655.1|,True,True,False,,
RBC4_71,cg2_3.0_scaffold_9542_c_2,True,True,True,1.4,1.4
RBC4_61,gi|499608628|ref|WP_011289362.1|,True,True,True,4.8,4.8
RBC4_8,gi|1082815638|gb|OGB30962.1|,True,True,True,2.1,2.1
RBC4_32,gi|652360404|ref|WP_026756535.1|,True,True,True,9.4,9.4
RBC_51,gi|3183152|sp|Q59462.3|RBL2_HYDMR,True,False,False,,
RBC4_15,gi|659865326|ref|WP_029912625.1|,True,True,True,13.2,11.0
RBC4_11,cg1_0.2_scaffold_945_c_30,True,True,True,17.0,12.600000000000001
RBC4_13,gi|1123468908|ref|WP_074200542.1|,True,True,True,12.6,8.375
RBC4_21,gi|780808786|gb|KJS13813.1|,True,True,True,3.3,2.0
RBC4_12,gi|737402008|ref|WP_035383183.1|,True,False,True,,
RBC4_10,gi|1085068552|gb|OGS68397.1|,True,True,True,14.2,12.833333333333334
RBC_64,gi|499820743|ref|WP_011501477.1|,,,False,,
RBC4_36,gi|13774957|gb|AAK39106.1|AF355197_1,True,True,True,5.6,5.6
RBC_63,gi|499473533|ref|WP_011160173.1|,True,True,True,7.8,7.8
