Variant,mean relative to Rr,relative to Rr sem,relative to Rr std,relative to Rr N,mean kcat,kcat sem,kcat std,kcat N,mean KM,KM sem,KM std,KM N
RBC4_67,7.4,2.9,4.1,2,6.7,2.1,3.0,2,951.1,913.3,1291.6,2
RBC4_45,7.2,,,1,12.2,,,1,,,,0
RBC_31,7.2,,,1,10.1,1.3,1.9,2,,,,0
RBC4_55,7.2,3.1,4.4,2,7.1,3.8,5.4,2,354.8,,,1
RBCSeed_24,7.1,0.9,1.3,2,8.2,1.1,1.9,3,,,,0
RBC4_34,7.1,,,1,7.2,2.3,3.3,2,161.0,,,1
Rr,7.0,0.0,0.0,3,7.0,0.4,1.9,30,133.4,20.9,46.8,5
RBC4_9,7.0,,,1,7.3,,,1,,,,0
RBCSeed_23,6.9,,,1,10.6,,,1,,,,0
RBC2_38,6.7,0.9,1.2,2,10.6,1.5,2.1,2,,,,0
RBC4_25,6.7,,,1,4.6,,,1,,,,0
RBC4_50,6.7,2.1,3.0,2,6.7,2.3,3.2,2,351.4,,,1
RBC4_30,6.7,3.0,4.2,2,6.4,3.9,5.5,2,194.9,,,1
RBC_25,6.6,1.3,1.9,2,8.2,2.3,4.0,3,,,,0
RBC4_36,6.6,1.1,1.6,2,7.8,0.4,0.6,2,99.0,,,1
RBCSeed_9,6.6,,,1,6.6,1.3,1.8,2,57.0,,,1
RBC4_69,6.5,1.8,2.5,2,6.3,2.5,3.5,2,1048.7,,,1
RBCSeed_22,6.4,0.6,0.9,2,10.0,1.2,1.7,2,,,,0
RBC4_37,6.2,,,1,8.4,,,1,,,,0
RBC4_32,6.1,3.2,4.6,2,4.5,1.9,2.7,2,,,,0
RBC_45,6.0,,,1,4.3,,,1,,,,0
RBC4_18,6.0,1.2,1.8,2,7.1,0.5,0.7,2,77.2,,,1
RBC2_43,5.9,,,1,5.9,0.3,0.4,2,12.2,,,1
RBC4_41,5.3,,,1,7.2,,,1,,,,0
RBC4_26,5.2,,,1,3.6,,,1,,,,0
RBC4_42,5.2,,,1,6.9,,,1,,,,0
RBCSeed_29,5.1,,,1,4.9,,,1,,,,0
RBCSeed_10,5.0,,,1,2.8,2.2,3.1,2,2147.3,,,1
RBCSeed_6,4.9,,,1,4.0,,,1,,,,0
RBC2_39,4.3,,,1,6.5,,,1,,,,0
RBC4_70,4.1,,,1,3.3,,,1,,,,0
RBC4_39,3.5,,,1,4.7,,,1,,,,0
RBCSeed_8,3.4,,,1,2.4,,,1,,,,0
RBC_18,2.9,,,1,2.1,,,1,,,,0
RBC4_31,2.8,,,1,1.9,,,1,,,,0
RBC4_47,2.5,,,1,4.2,,,1,,,,0
RBC_20,2.2,,,1,3.3,,,1,,,,0
RBC4_8,2.1,,,1,1.4,,,1,,,,0
RBC4_68,2.1,,,1,2.1,,,1,,,,0
RBC2_37,2.1,,,1,2.0,,,1,,,,0
RBC4_21,2.0,1.3,1.8,2,2.5,2.0,2.9,2,,,,0
RBC4_71,1.4,,,1,1.1,,,1,,,,0
RBC4_16,0.9,0.4,0.7,3,1.1,0.6,1.1,3,-51.9,,,1
RBC4_51,0.9,,,1,0.9,,,1,,,,0
RBC_4,0.6,,,1,0.6,,,1,,,,0
RBC4_23,0.4,,,1,0.3,,,1,,,,0
RBC_29,0.3,,,1,0.3,,,1,,,,0
RBC_94,0.3,,,1,2.8,2.3,3.2,2,,,,0
RBC4_64,0.2,,,1,0.2,,,1,,,,0
RBC_14,0.2,,,1,0.2,,,1,,,,0
RBC4_6,0.2,,,1,0.2,,,1,,,,0
RBC_39,0.1,,,1,2.0,1.9,2.7,2,,,,0
RBC_28,0.1,0.1,0.1,3,0.1,0.1,0.1,3,,,,0
RBC4_38,0.1,,,1,0.1,,,1,,,,0
RBC_41,0.1,,,1,0.1,,,1,-143.8,,,1
RBC_6,0.1,,,1,0.1,,,1,,,,0
RBC_34,0.1,0.0,0.1,2,1.4,1.3,2.3,3,,,,0
RBCSeed_48,0.0,,,1,0.0,,,1,,,,0
Tk,0.0,,,1,0.0,,,1,,,,0
RBC4_24,0.0,,,1,0.0,,,1,,,,0
RBC4_78,0.0,,,1,0.0,,,1,,,,0
RBC_8,0.0,,,1,1.5,1.5,2.2,2,,,,0
RBC_32,,,,0,7.9,,,1,,,,0
RBCSeed_28,,,,0,5.8,,,1,,,,0
RBC_33,,,,0,4.0,0.6,0.8,2,,,,0
RBC_22,,,,0,3.3,0.1,0.1,2,,,,0
RBC_47,,,,0,3.3,,,1,,,,0
Rr[D117V],,,,0,3.1,0.3,0.4,2,,,,0
RBC2_36,,,,0,2.9,,,1,,,,0
RBCSeed_16,,,,0,2.2,1.1,2.0,3,,,,0
RBC_82,,,,0,,,,0,,,,0
